Box,Section,x,y,type, poly,edge(EDI),altitude(m),aspect,northness,habitat type,soil type
SW84A,SW,447375.33,207309.71,G,4805.19,56.7842,143.493,28.6397,0.877651081,3,1
CP14,CP,446309.33,209043.71,G,4808.08,306.178,94.9434,49.9434,0.643544038,4,2
W14,W,446247.33,209273.76,G,4815.99,89.7006,75.544,343.957,0.961054562,5,3
W102,W,445323.33,209040.71,G,4827.45,66.3368,66.6848,283.161,0.227688123,5,3
EX5,EX,445483.33,208370.71,G,4834.53,180.816,123.242,253.683,-0.280951477,5,2
EX41B,EX,445738.33,208427.71,G,4835.08,263.057,157.674,313.249,0.685170278,5,1
O40,O,445462.72,207850.76,G,4836.24,277.056,111.329,201.097,-0.932972383,2,3
EX17,EX,445694.33,208976.71,G,4871.83,356.053,102.636,337.125,0.921355105,5,3
SW63,SW,446960.33,207394.71,G,4897.61,110.237,143.317,335.382,0.909105286,3,1
O111,O,445925.33,207523.71,G,4992.44,372.462,98.7217,248.494,-0.366598658,2,3
W27,W,446173.33,209315.71,G,5010.06,121.519,71.0571,353.616,0.993799008,5,3
C160A,C,446323.33,207042.71,G,5018.98,37.459,118.473,118.068,-0.470519135,5,2
O20,O,445342.72,208098.76,G,5032.71,126.071,110.187,14.3567,0.968770826,2,3
EX62D,EX,446300.77,208230.55,G,5041.98,7.50906,151.954,102.295,-0.212945122,3,1
O9,O,445267.72,208154.76,G,5053.14,52.0275,102.964,284.262,0.246356283,5,3
O107,O,445709.33,207638.71,G,5056.46,324.357,104.131,180.914,-0.999872765,2,2
O54,O,445438.72,207968.76,G,5067.98,229.425,125.578,258.57,-0.198170582,5,2
EX34A,EX,445694.33,208899.71,G,5092.68,422.176,108.682,326.248,0.831450219,5,3
EX62,EX,446299.33,208425.71,G,5099.25,115.136,147.491,32.949,0.839155029,4,1
SW80A,SW,447326.33,207326.71,G,5122.34,81.7669,144.473,38.1237,0.786679722,3,1
O75A,O,445831.33,207155.71,G,5122.96,40.1754,90.2468,258.058,-0.206921414,4,2
CP43,CP,446948.72,208462.76,G,5142.31,28.7455,103.841,87.6676,0.040696817,3,2
CP39,CP,446973.72,208542.76,G,5148.11,20.4971,100.653,65.7644,0.410489689,3,2
CP29,CP,446615.33,208950.71,G,5202.21,97.2993,101.326,8.41985,0.989221663,4,2
SW108,SW,446096.33,207115.71,G,5255.87,61.3936,109.037,229.754,-0.646070694,5,2
CP14A,CP,446274.9,209060.81,G,5303.34,292.355,94.6371,24.8301,0.907556997,4,2
W75,W,445667.33,209164.71,G,5306.01,185.665,83.0065,331.961,0.882627829,5,3
O119,O,446051.33,207804.71,G,5316.62,167.778,118.984,161.381,-0.947662587,2,2
SW36,SW,446424.33,207401.71,G,5417.14,56.3417,142,237.96,-0.530511184,3,1
SW57,SW,446878.33,207437.71,G,5420.85,127.434,140.738,353.539,0.99364868,2,1
EX29A,EX,446020.33,208789.71,G,5423.79,428.034,127.666,21.8159,0.928382734,5,2
EX39,EX,445695.33,208717.71,G,5423.82,430.218,124.43,315.012,0.707254862,5,1
P22,P,446823.33,207539.71,G,5441.75,52.5225,133.562,14.351,0.968795489,2,1
MP95,MP,447941.72,207986.76,G,5458.72,29.6373,71.4737,355.551,0.996986777,3,3
W9,W,446181.33,209099.76,G,5464.51,275.239,92.0225,12.8876,0.974809487,5,3
EX68,EX,445909.33,208292.71,G,5472.15,84.7119,163.119,36.1261,0.807721403,3,1
EX49,EX,446245.33,208674.71,G,5476.67,226.819,133.576,7.28677,0.991923756,4,1
EX46,EX,446031.33,208756.71,G,5489.67,394.743,131.587,23.8848,0.914361403,4,1
EX43A,EX,445873.33,208521.71,G,5556.85,217.267,155.8,17.6086,0.953145272,4,1
O78,O,445747.33,207342.71,G,5573.11,128.411,86.8011,206.005,-0.898755788,2,3
SW128,SW,446154.33,207555.71,G,5582.22,275.889,116.09,311.737,0.665712374,2,2
O73,O,445701.33,207286.71,G,5617.37,59.4377,84.509,189.356,-0.986697296,2,3
SW111,SW,445998.33,207148.71,G,5634.76,43.7522,104.823,228.38,-0.664187203,5,2
O93,O,445912.33,207645.71,G,5638.7,356.442,105.753,188.197,-0.989783698,2,2
SW10,SW,446318.33,207680.71,G,5675.49,124.355,130.65,232.261,-0.612065467,3,2
O64,O,445472.72,207440.76,G,5704.23,59.4755,86.2441,186.188,-0.994173562,4,3
EX53,EX,446535.33,208706.71,G,5712.02,107.538,120.025,61.4885,0.477335141,5,1
EX28,EX,446168.33,208842.71,G,5731.43,392.867,117.188,348.854,0.981137781,2,2
EX44,EX,445891.33,208698.71,G,5740.16,365.803,138.129,5.51981,0.995363,5,2
O113,O,445853.33,207841.76,G,5745.6,221.955,122.241,217.466,-0.793714447,2,2
EX75,EX,445916.33,208096.71,G,5794.52,95.3508,156.063,184.031,-0.997526162,3,1
P21,P,446767.33,207549.71,G,5859.38,24.0735,134.332,5.4075,0.995549637,2,1
W74,W,445800.33,209211.71,G,5860.96,207.399,86.3679,339.745,0.938161128,5,3
EX42,EX,445837.33,208589.71,G,5866.58,293.169,147.723,339.114,0.934291614,4,2
O11,O,445339.72,208246.76,G,5922.02,33.1017,105.397,247.937,-0.375625859,2,3
CP30,CP,446639.33,208899.71,G,5925.26,48.1217,103.444,46.8373,0.684072397,4,2
EX38A,EX,445669.33,208666.71,G,5934.47,392.854,122.94,288.591,0.31881043,5,2
W10,W,446093.33,209131.71,G,5968.89,295.234,89.9124,49.1376,0.654244649,5,3
O118,O,446026.33,207781.71,G,5979.81,195.492,118.277,158.575,-0.93089652,2,2
W104,W,445273.33,208998.71,G,5986.1,65.6083,66.532,337.009,0.920566218,5,3
CP38,CP,446894.72,208524.76,G,5994.82,15.1233,105.927,67.825,0.377436764,3,1
W77,W,445609.33,209153.71,G,6012.73,162.311,80.9556,327.149,0.840084086,5,3
O65,O,445533.33,207430.71,G,6041.44,71.3528,87.1758,222.217,-0.74060526,4,3
SW120,SW,446049.33,207369.71,G,6053.81,273.015,111.933,249.416,-0.351580238,2,2
SW32,SW,446283.33,207228.71,G,6084.83,8.87726,134.395,210.765,-0.859272526,3,1
EX12A,EX,445480.33,208770.71,G,6086.02,238.47,102.183,315.916,0.718320605,2,3
P7,P,447254.33,207742.71,G,6088.19,67.1608,116.716,5.89555,0.994710798,3,2
EX57,EX,446473.33,208633.71,G,6106.02,49.0782,126.404,55.2402,0.570137291,4,1
SW80,SW,447250.33,207305.71,G,6115.32,9.87538,144.999,347.029,0.974483798,3,1
EX78,EX,446079.33,207964.71,G,6145.41,3.02417,146.35,180.845,-0.99989125,3,2
EX86,EX,446001.33,207834.71,G,6145.64,149.322,127.483,177.613,-0.999132306,2,2
EX52,EX,446477.33,208704.71,G,6153.21,122.319,122.087,44.8365,0.709121709,5,1
EX66,EX,445877.75,208346.33,G,6171.88,107.112,162.518,337.553,0.924233129,3,1
EX89,EX,445826.33,207888.71,G,6191.67,214.525,127.839,186.939,-0.992675337,2,2
B80A,B,447433.72,207820.76,G,6215.61,36.1702,109.385,27.0716,0.890438497,2,2
EX47,EX,446112.33,208725.71,G,6219.74,365.279,134.407,14.8845,0.966445605,4,1
SW105,SW,446199.33,207046.71,G,6226.05,79.6379,112.737,250.566,-0.332720793,5,2
EX12,EX,445406.33,208764.71,G,6236.64,165.052,95.8524,321.225,0.779611298,2,3
W75A,W,445751.33,209202.71,G,6251.08,193.432,83.7797,344.388,0.963106223,5,3
EX49A,EX,446155.33,208632.71,G,6285.2,280.829,139.446,63.5666,0.44515725,4,1
EX56,EX,446552.33,208643.71,G,6300.25,36.6913,122.153,6.99453,0.992557782,4,1
O86,O,445584.33,207655.71,G,6301.98,301.212,109.371,180.026,-0.999999897,2,2
EX62B,EX,446330.33,208317.71,G,6324.05,8.01768,149.61,78.9744,0.191247572,3,1
W94,W,445546.33,209131.71,G,6346.15,149.498,79.3493,325.934,0.828392879,5,3
SW6,SW,446327.33,207836.71,G,6384.18,69.8763,135.837,98.1276,-0.141378121,3,2
O74,O,445633.33,207335.71,G,6417.71,20.6187,84.3336,205.122,-0.905405851,5,3
EX18A,EX,445761.33,208957.71,G,6433.31,409.787,106.383,338.906,0.932991228,5,3
O105,O,445697.33,207743.71,G,6496.15,403.64,115.697,164.272,-0.962559391,2,2
EX4,EX,445547.33,208400.76,G,6502.18,244.777,139.385,281.871,0.205708891,5,1
EX71,EX,445851.33,208172.71,G,6533.04,189.835,157.962,335.96,0.913261279,3,1
EX10A,EX,445542.33,208712.71,G,6628.3,282.085,109.878,274.179,0.072872657,5,3
EX33,EX,445775.33,208855.71,G,6648.41,501.559,114.061,348.699,0.980611238,5,2
W91,W,445496.33,209236.71,G,6654.47,31.4326,65.6311,307.293,0.60589121,5,3
EX39C,EX,445793.33,208670.71,G,6659.46,384.641,139.754,349.157,0.982146346,5,1
EX72,EX,445922.33,208217.71,G,6661.5,115.621,162.193,187.693,-0.990999562,3,1
W101,W,445335.33,209003.71,G,6688.48,101.537,68.3173,272.995,0.052248809,5,3
EX8,EX,445557.33,208562.71,G,6719.95,267.752,118.677,321.683,0.784592444,2,2
EX55,EX,446634.33,208663.71,G,6738.37,40.4568,117.478,68.6063,0.364774407,4,1
SW34,SW,446359.33,207328.71,G,6755.5,24.6654,141.187,227.426,-0.67654187,3,1
P5,P,447227.33,207656.71,G,6759.24,152.541,125.782,345.477,0.968047053,2,1
EX73,EX,445964.33,208152.71,G,6905.86,88.5484,160.092,183.226,-0.99841533,3,1
EX49C,EX,446215.33,208762.71,G,6932.99,303.622,126.324,12.0917,0.977813592,5,1
SW121,SW,446035.33,207357.71,G,6970.28,256.655,110.533,251.379,-0.319306663,2,2
O106,O,445717.33,207689.71,G,6986.74,375.283,109.797,151.731,-0.880733731,2,2
W92,W,445495.33,209195.71,G,7000.13,76.3914,67.899,299.424,0.491268644,5,3
CP21,CP,446357.33,208965.71,G,7013.82,335.112,97.2249,28.913,0.875354851,4,2
EX80,EX,445795.33,208313.71,G,7031.62,189.388,162.683,272.43,0.042398787,5,1
EX43,EX,445912.33,208625.71,G,7073.28,290.098,146.647,348.54,0.980063651,4,1
O83,O,445788.33,207625.71,G,7077.37,346.808,101.943,164.812,-0.965071386,2,2
EX59,EX,446392.33,208565.71,G,7112.96,38.748,134.357,56.8976,0.546137051,4,1
EX14B,EX,445630.33,208871.71,G,7133.29,391.481,106.688,310.276,0.646470257,5,1
W45,W,446015.33,209235.71,G,7151.79,237.309,86.4752,246.656,-0.396250702,5,3
EX8A,EX,445573.33,208620.71,G,7153.57,291.437,116.158,326.234,0.831314435,5,3
O84,O,445745.33,207577.71,G,7184.83,283.572,97.2165,182.743,-0.998854241,2,3
SW117,SW,446081.33,207293.71,G,7190.29,214.616,115.182,277.811,0.13590578,2,2
EX51C,EX,446379.33,208890.71,G,7203.23,295.586,103.944,7.52625,0.991384957,5,2
P9,P,447314.33,207802.71,G,7218.79,20.161,111.691,353.055,0.99266268,3,2
SW15,SW,446239.33,207501.71,G,7243.95,213.466,133.115,306.713,0.597807049,2,2
SW2,SW,446216.33,207871.71,G,7250.04,29.6239,140.54,184.622,-0.996748011,2,2
EX1,EX,445711.33,208363.71,G,7308.86,273.979,159.857,320.92,0.776266507,5,1
EX14A,EX,445559.33,208789.71,G,7327.33,316.225,107.215,306.629,0.596631141,5,3
P24,P,446997.33,207496.71,G,7388.66,144.153,136.263,232.594,-0.607459027,2,1
O72,O,445710.33,207362.71,G,7391.34,104.477,86.6625,154.137,-0.899839666,2,3
SW126,SW,446067.33,207514.71,G,7441.09,362.353,107.925,282.744,0.220595296,2,2
W99,W,445380.33,209050.71,G,7443.07,106.596,70.3833,303.154,0.54689125,5,3
P23,P,446911.33,207515.71,G,7461.12,109.813,134.743,3.27617,0.998365672,2,1
SW35,SW,446381.33,207366.71,G,7471.75,45.6343,141.626,223.063,-0.730603363,3,1
EX31,EX,445914.33,208883.71,G,7489.16,535.534,117.087,6.85993,0.992841117,5,2
SW33,SW,446328.33,207280.71,G,7575.56,9.00006,140.014,241.805,-0.472473855,3,1
SW113,SW,446006.33,207195.71,G,7584.76,95.7079,108.365,296.687,0.449116288,2,2
EX51D,EX,446444.87,208795.54,G,7654.82,217.567,117.388,18.6302,0.947600158,5,1
O103,O,445746.33,207787.71,G,7675.75,337.977,117.801,121.507,-0.52260273,2,2
EX51A,EX,446381.33,208780.71,G,7676.1,219.65,120.906,32.4717,0.84365673,5,1
EX41D,EX,445851.33,208441.71,G,7750.1,171.611,161.139,256.595,-0.231832793,4,1
EX39B,EX,445778.33,208758.71,G,7776.88,467.36,127.568,322.873,0.797299585,5,2
EX40,EX,445730.33,208660.71,G,7821.98,414.351,133.726,269.243,-0.013211758,5,1
O85,O,445640.33,207606.71,G,7891.67,272.327,100.46,167.024,-0.974464207,2,3
EX61,EX,446309.33,208474.71,G,7949.44,102.641,143.862,36.3551,0.805358585,4,1
P17,P,447006.33,207611.71,G,8057.94,50.0687,124.576,354.034,0.994583749,3,2
EX2,EX,445636.33,208384.71,G,8095.13,333.238,151.551,308.943,0.628546946,5,1
O102,O,445681.33,207827.71,G,8095.87,369.098,128.346,151.848,-0.881699026,2,2
EX43B,EX,445919.33,208499.71,G,8154.3,172.789,156.856,35.3108,0.816028652,4,1
EX45,EX,445963.33,208750.71,G,8164.7,395.424,134.194,345.595,0.968561455,4,2
EX32,EX,445844.33,208866.71,G,8181.61,531.704,115.806,330.067,0.866609497,5,2
SW5,SW,446320.98,207891.12,G,8211.58,23.7672,138.788,145.567,-0.824787964,3,2
EX51,EX,446397.33,208674.71,G,8239.34,118.533,127.624,48.1797,0.666796552,5,1
O66,O,445582.33,207406.71,G,8278.48,62.2752,87.6958,211.878,-0.849174531,4,3
EX39A,EX,445861.33,208761.71,G,8313.14,435.262,133.29,340.728,0.943962359,5,2
SW119,SW,446065.33,207348.71,G,8404.07,259.555,113.822,248.021,-0.374266738,2,2
SW127,SW,446100.33,207536.71,G,8547.49,332.392,111.04,294.668,0.417359602,2,2
W97,W,445487.33,209092.71,G,8609.4,161.702,77.413,310.477,0.649142749,5,3
O114,O,445873.33,207775.71,G,8766.96,260.899,116.264,204.815,-0.907667635,2,2
O13,O,445364.72,208273.76,G,8775.03,61.3745,107.023,244.501,-0.430495344,2,3
EX19A,EX,445815.33,208992.71,G,8858.11,408.831,103.89,320.236,0.768685565,2,3
SW7,SW,446331.33,207801.71,G,8884.56,103.281,134.776,68.1904,0.3715234,3,2
O115,O,445904.33,207703.71,G,9096.45,306.225,111.39,197.552,-0.953443646,2,2
EX88,EX,445921.33,207835.71,G,9102.62,184.296,124.582,204.454,-0.910293915,2,2
EX29,EX,446108.33,208834.71,G,9128.75,431.476,117.835,8.78083,0.988279512,5,2
O116,O,446001.33,207664.71,G,9131.44,315.101,109.588,179.718,-0.999987888,2,2
EX41A,EX,445755.33,208462.71,G,9207.36,262.752,156.715,333.431,0.894396367,5,1
W98,W,445459.33,209114.71,G,9307.92,126.428,70.7073,312.571,0.676503311,5,3
EX43D,EX,446085.33,208625.71,G,9324.07,265.466,143.045,53.4853,0.595029007,4,1
EX43E,EX,446010.33,208649.71,G,9392.95,288.894,143.816,354.189,0.994861289,4,1
EX62A,EX,446322.33,208376.71,G,9477.6,59.5654,148.145,75.0375,0.258186793,3,1
EX11,EX,445444.33,208706.71,G,9562.46,186.508,102.376,286.803,0.289081922,2,3
EX51B,EX,446314.33,208817.71,G,9579.58,283.487,119.745,13.2774,0.973269539,5,1
MP98,MP,447817.72,207173.76,G,9702.75,7.74002,120.32,208.726,-0.876928155,3,2
O80,O,445811.33,207436.71,G,9736.32,229.414,89.4532,257.389,-0.2183306,2,3
W99A,W,445385.33,209013.71,G,9767,131.133,73.6032,312.713,0.678326399,5,3
EX60,EX,446331.33,208517.71,G,9815.01,78.1041,140.634,15.2621,0.964731754,4,1
EX30,EX,445981.49,208869.98,G,9848.11,510.902,119.195,10.8669,0.98206779,5,2
EX50,EX,446308.33,208686.71,G,9863.88,183.899,129.852,20.5807,0.936178,5,1
SW8,SW,446281.33,207774.71,G,9873.81,119.151,132.909,245.543,-0.414010208,3,2
EX84,EX,446086.33,207856.71,G,9913.51,108.596,127.865,171.91,-0.990048235,2,2
EX41,EX,445795.33,208539.71,G,9987.37,279.921,150.824,323.128,0.799977984,4,1
EX26,EX,446155.33,208949.71,G,10013.99,424.882,106.03,351.446,0.988876117,5,2
SW112,SW,445938.33,207159.71,G,10110.76,35.198,101.41,250.357,-0.336158481,4,2
EX73A,EX,446031.33,208127.71,G,10137.15,12.0145,158.663,173.416,-0.993404823,3,1
O81,O,445780.33,207502.71,G,10166.69,245.66,91.8235,171.832,-0.989855736,2,3
O79,O,445788.33,207390.71,G,10234.64,185.884,88.7232,239.828,-0.502597522,2,3
SW134,SW,446238.33,207655.71,G,10354.17,194.282,122.827,247.841,-0.377178151,2,2
EX18,EX,445710.33,209023.71,G,10362.09,326.514,99.5167,336.728,0.918639572,2,3
EX14,EX,445451.33,208853.71,G,10602.66,212.637,92.0599,291.185,0.361380476,2,3
EX77,EX,445991.33,207977.71,G,10621.64,23.2363,147.312,183.724,-0.997888499,3,1
O71,O,445601.33,207494.71,G,10652.67,153.802,93.6586,156.189,-0.914882176,4,3
O39,O,445496.72,207825.76,G,10851.69,318.356,115.578,301.848,0.527667615,2,2
W69,W,445872.33,209243.71,G,10935.65,200.062,84.5911,329.572,0.862266271,5,3
EX27,EX,446225.33,208867.71,G,10964.28,375.776,115.377,192.752,-0.975334616,2,2
EX49B,EX,446227.33,208612.71,G,11192.46,207.795,138.982,17.0663,0.955965797,4,1
EX19,EX,445807.33,209073.71,G,11481.1,333.586,98.2496,326.401,0.832930899,2,3
SW122,SW,445975.33,207428.71,G,11517.13,310.675,103.093,283.176,0.227943038,2,2
EX76,EX,445899.33,207993.71,G,11600.63,102.08,147.492,190.493,-0.983277164,3,1
SW101,SW,446187.33,207225.71,G,11703.36,100.901,127.48,257.508,-0.216303295,3,2
EX9,EX,445503.33,208584.71,G,11891.73,217.261,113.183,327.99,0.847955595,2,3
EX7,EX,445561.33,208502.71,G,11978.15,269.243,125.57,330.239,0.868103532,5,2
EX75A,EX,445885.33,208058.71,G,11985.2,110.459,152.646,191.653,-0.979388829,3,1
EX13,EX,445382.33,208817.71,G,12241.88,139.44,89.1056,333.589,0.89562638,2,3
EX21,EX,445992.33,209122.71,G,12332.32,343.293,96.7212,50.061,0.641971676,5,3
SW9,SW,446338.33,207737.71,G,12515.52,120.709,130.943,87.1054,0.050498813,3,2
SW16,SW,446260.33,207485.71,G,12838.37,204.383,136.466,295.996,0.438308398,2,2
EX63,EX,446234.33,208384.71,G,12986.43,80.7655,152.238,24.2527,0.911742688,4,1
O76,O,445791.33,207210.71,G,13005.66,50.5394,87.5575,261.815,-0.142369806,4,3
EX20,EX,445893.33,209060.71,G,13355.61,380.092,101.01,351.379,0.988701507,2,3
EX62H,EX,446454.65,207990.58,G,13361.48,12.0973,133.248,72.6769,0.297759782,3,2
EX43C,EX,445982.36,208540.66,G,13408.17,186.439,151.675,62.861,0.45615075,4,1
O101,O,445672.33,207883.71,G,13540.84,352.006,135.622,139.87,-0.764584034,2,2
EX16,EX,445612.33,208972.71,G,13559.15,321.495,99.6761,353.464,0.993500532,2,3
EX64,EX,446184.33,208449.71,G,13576.03,120.781,151.013,7.95982,0.990365424,4,1
MP74,MP,448311.72,206937.76,G,13846.48,0.522256,89.8276,73.1647,0.289621548,3,2
EX15,EX,445523.33,208906.71,G,13952.16,296.267,97.8592,317.667,0.739243345,2,3
EX31A,EX,445950.33,208948.71,G,14248.58,504.453,110.155,249.284,-0.353736055,5,2
EX25,EX,446123.33,208965.71,G,14508.79,421.145,104.815,23.7335,0.915427424,5,2
O117,O,446057.33,207708.71,G,14620.95,257.75,111.965,210.294,-0.86344838,2,2
EX62I,EX,446427.53,207969.36,G,15386.86,45.2857,134.133,100.346,-0.179592071,3,1
P16,P,447070.33,207626.71,G,15419.37,92.0703,125.271,339.668,0.937695023,2,1
EX5A,EX,445452.33,208363.71,G,16003.98,150.005,116.733,264.731,-0.091831835,2,2
EX71A,EX,445808.33,208198.71,G,16137.22,220.406,159.782,151.029,-0.874864979,3,1
EX67,EX,445956.33,208360.71,G,16149,36.3851,161.472,10.6014,0.982930854,3,1
P6,P,447223.33,207763.71,G,16262.91,42.2628,115.163,7.36882,0.991741105,3,2
EX10,EX,445473.33,208641.71,G,16937.11,196.505,108.286,309.089,0.630526806,2,3
EX65,EX,446127.33,208492.71,G,17730.39,138.958,148.957,42.6573,0.735419793,4,1
EX92,EX,445731.33,207934.71,G,18361.46,279.297,137.207,183.111,-0.99852627,2,2
W105,W,445237.33,208993.71,G,18701.51,40.8077,65.8714,356.929,0.998563914,5,3
CP40A,CP,447114.72,208507.76,G,19566.9,15.551,88.6289,80.2832,0.168778396,3,3
EX6,EX,445486.33,208437.71,G,19750,189.862,125.377,297.508,0.461872459,5,2
CP40,CP,447072.72,208549.76,G,20066.78,61.6086,91.7346,70.9199,0.326889679,3,3
EX13A,EX,445305.33,208756.71,G,26009.41,62.9295,90.9159,332.556,0.887461715,2,3
EX48A,EX,446179.33,208737.71,G,NA,316.574,130.222,30.1111,0.865054246,5,1
C137,C,446448.52,206895.56,G,NA,145.258,NA,113.067,-0.391807272,5,2
C114,C,446322.44,206578.38,G,NA,2.3,NA,181.699,-0.999560378,5,3
