Box,Section,x,y,type, poly,edge(EDI),altitude(m),aspect,northness,habitat type,soil type
SW25,SW,446550.33,207530.71,G,2561.13,7.16512,139.767,31.4949,0.85268667,3,1
O56,O,445416.72,208003.76,G,2562.08,206.994,124.94,327.172,0.840301775,5,2
CP31,CP,446600.33,208929.71,G,2568.17,100.775,103.204,20.4497,0.936979276,4,2
CP1,CP,446350.33,209195.71,G,2569.6,151.102,83.4213,42.7653,0.734141219,4,3
O104,O,445716.33,207772.71,G,2582.83,370.876,118.052,148.413,-0.851845801,2,2
SW55,SW,446791.33,207400.71,G,2589.27,58.3422,143.145,29.1209,0.873594762,3,1
O50,O,445431.72,207610.76,G,2590.86,172.877,101.607,202.331,-0.925004277,4,3
MP44,MP,448390.72,207219.76,G,2592.42,45.0488,72.0166,84.687,0.092596508,3,3
B197,B,447740.72,207796.76,G,2594.82,176.967,94.9331,49.5091,0.649327269,5,3
SW62,SW,446899.33,207378.71,G,2604.45,81.4167,143.851,15.8455,0.962001466,3,1
W29,W,446124.33,209221.71,G,2614.31,210.553,81.5977,26.482,0.895074495,5,3
C156,C,446528.33,206909.71,G,2617.84,102.387,99.8519,214.509,-0.824037208,5,2
W62,W,445726.33,209377.71,G,2618.15,18.6785,62.7564,350.302,0.98570935,5,3
B15,B,447811.72,207658.76,G,2620.04,101.422,101.068,60.3416,0.494827862,5,3
MP78,MP,448423.72,207060.76,G,2624.66,83.0459,74.927,83.401,0.114919813,3,3
W24,W,446185.33,209410.71,G,2643.56,98.0263,66.3573,269.077,-0.016108692,5,3
SW58,SW,446859.33,207384.71,G,2646.92,70.7497,143.612,10.4124,0.98353238,3,1
O49,O,445432.72,207554.76,G,2652.16,154.175,96.752,217.592,-0.792374828,4,3
SW123,SW,445980.33,207449.71,G,2655.08,332.083,102.441,293.011,0.390907846,2,2
W5,W,446195.33,209187.71,G,2658.57,190.03,82.4741,344.45,0.963396877,5,3
W58,W,445917.33,209425.71,G,2661.2,25.4478,63.8041,20.1553,0.938762126,5,3
W56,W,445993.33,209438.71,G,2665.36,29.133,64.544,340.807,0.944416542,5,3
SW104A,SW,446212.33,207123.71,G,2673.02,50.2355,119.669,176.548,-0.998185592,2,2
SW20,SW,446401.33,207577.71,G,2684.02,35.3782,138.334,349.535,0.983366045,3,1
SW110,SW,446074.33,207165.71,G,2686.2,96.0722,111.869,192.128,-0.977680681,5,2
SW29,SW,446468.33,207455.71,G,2687.23,93.2024,142.325,2.39255,0.999128267,3,1
W26,W,446142.33,209342.71,G,2689.76,146.675,69.46,10.4466,0.983424325,5,3
W23,W,446199.33,209475.71,G,2692.3,77.5516,63.4795,320.825,0.77522019,5,3
W22,W,446164.33,209458.71,G,2693.34,97.2671,63.702,304.586,0.567642598,5,3
SW31,SW,446510.33,207427.71,G,2694.03,49.774,142.885,83.3305,0.116142031,3,1
