Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20201O26,o,J Haynes,False,NA,6.0,True,07-06-2020,NA,NA,20-04-2020,20.0,7,7.0,NA,NA,0,NA,NA,NA,NA,NA,NA,1.0,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Suspect abandonment, suspect abandonment, suspect abandonment, Abandoned nest",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O260,o,Charlotte Regan,False,b,6.0,True,31-05-2020,NA,NA,14-04-2020,14.0,0,3.0,1.0,True,0,08-05-2020,08-05-2020,38.0,13.0,3.1,3.0,12.0,10.0,10,52.0,15.0,10.0,1,10,10.82,10,2,avl4527,avl4547,"avl4527, avl4547",NA,NA,NA,0,fon,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O261,o,Charlotte Regan,False,b,6.0,True,31-05-2020,NA,NA,22-04-2020,22.0,0,6.0,1.0,True,0,13-05-2020,13-05-2020,43.0,13.0,3.2,3.0,9.0,8.0,8,57.0,15.0,8.0,1,7,11.22,8,1,avl7258,NA,avl7258,NA,avl4884,NA,0,fon,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O27,o,J Haynes,False,g,6.0,True,31-05-2020,NA,NA,18-04-2020,18.0,0,7.0,1.0,True,0,10-05-2020,08-05-2020,38.0,11.0,5.2,3.0,10.0,10.0,10,52.0,15.0,10.0,0,10,16.9,10,2,tw41625,ty70703,"01103f3ff6, ty70703",NA,NA,NA,0,co=FON,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O27A,o,J Haynes,False,g,6.0,True,04-06-2020,NA,NA,21-04-2020,21.0,0,5.0,1.0,True,0,13-05-2020,13-05-2020,43.0,13.0,7.1,4.0,10.0,9.0,4,57.0,15.0,4.0,4,0,11.25,4,2,NA,tw41870,"011017836c, tw41870",NA,"ty70592, ty70593, ty70904, ty70905",NA,0,"covered and cold eggs, FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O28,o,J Haynes,False,g,6.0,True,22-05-2020,True,NA,19-04-2020,19.0,0,7.0,1.0,True,0,09-05-2020,09-05-2020,39.0,13.0,7.5,4.0,8.0,5.0,0,NA,NA,NA,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"FON, FON, nest abandoned and one dead chick",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O29,o,J Haynes,False,NA,6.0,True,07-06-2020,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O3,o,Charlotte Regan,False,g,6.0,True,07-06-2020,NA,NA,19-04-2020,19.0,0,6.0,NA,True,0,08-05-2020,09-05-2020,39.0,14.0,5.9,4.0,7.0,6.0,6,53.0,15.0,6.0,4,2,17.43,6,2,tl38436,vz33534,"0700edd2d8, 0110176f22",NA,"ty69064, ty69059, ty69063, ty69062",NA,0,"fon, fon",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O30,o,J Haynes,False,NA,0.0,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O30A,o,Sam Crofts,False,b,6.0,True,27-05-2020,NA,NA,14-04-2020,14.0,0,7.0,NA,True,0,03-05-2020,03-05-2020,33.0,13.0,NA,NA,7.0,7.0,7,47.0,15.0,7.0,0,7,11.56,7,2,NA,akd3348,afh3461,NA,NA,NA,0,FON,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O31,o,J Haynes,False,b,6.0,True,29-05-2020,NA,NA,14-04-2020,14.0,0,7.0,1.0,True,0,07-05-2020,06-05-2020,36.0,12.0,5.2,4.0,11.0,10.0,10,50.0,15.0,10.0,0,10,11.53,10,1,avl6023,NA,avl6023,NA,NA,NA,0,"Uncovered cold eggs, FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O32,o,J Haynes,False,g,6.0,True,28-05-2020,NA,NA,20-04-2020,20.0,0,7.0,1.0,True,0,10-05-2020,10-05-2020,40.0,13.0,4.6,3.0,8.0,8.0,8,53.0,14.0,8.0,0,8,15.74,8,2,vz30799,ty70715,"ty70715, vz30799",NA,NA,NA,0,"On oak, FON, FON, FON, Feathers found below box, possible chick predation",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O33,o,J Haynes,False,b,6.0,True,07-06-2020,NA,NA,29-04-2020,29.0,0,7.0,NA,True,0,18-05-2020,17-05-2020,47.0,12.0,NA,NA,7.0,7.0,7,61.0,15.0,7.0,1,6,9.54,7,4,avl6674,j215668,"j215668, 01103fc7d7, avl6674",NA,avl6108,NA,0,"FON, FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O34,o,J Haynes,False,b,6.0,True,28-05-2020,NA,NA,15-04-2020,15.0,0,7.0,0.5,True,0,05-05-2020,05-05-2020,35.0,12.0,4.4,4.0,9.0,9.0,9,49.0,15.0,9.0,0,9,10.61,9,0,NA,NA,NA,NA,NA,NA,0,nothing on fp,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O35,o,J Haynes,False,b,6.0,True,01-06-2020,NA,NA,26-04-2020,26.0,0,7.0,1.0,True,0,17-05-2020,18-05-2020,48.0,14.0,4.6,4.0,9.0,9.0,0,NA,NA,NA,6,0,NA,0,1,NA,avl6684,avl6684,NA,NA,NA,0,"FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O36,o,J Haynes,False,g,6.0,True,01-06-2020,NA,NA,20-04-2020,20.0,0,7.0,1.0,True,0,11-05-2020,11-05-2020,41.0,13.0,4.3,3.0,9.0,9.0,5,55.0,15.0,5.0,0,5,15.74,5,3,tv44361,vz33559,"vz33559, 0700ed93cc",NA,NA,NA,0,FON,NA,NA,NA,NA,NA,NA,NA,NA,NA
20201O37,o,J Haynes,False,b,6.0,True,31-05-2020,NA,NA,28-04-2020,28.0,0,7.0,NA,True,0,18-05-2020,17-05-2020,47.0,12.0,NA,NA,8.0,7.0,0,NA,NA,NA,6,0,NA,0,1,NA,avl6675,avl6675,NA,NA,NA,0,"FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA
