Record type,Retrap,Bto ring,Pit tag,Pit tag state,Bto species code,Age,Sex,Sexing method,Date time,Region,Location,Fieldworker,Wing length,Weight,Bill length method,Bill length,Bill depth method,Bill depth,Tarsus length method,Tarsus length,Fat,Fat method,Pectoral muscle,Pox,Leg condition description,Tick description,Comment,
Physical,New Capture,tr44074,'0300037366',1,greti,1,,,01-06-2013 15:59,WYT,20131MP7,Jack Nurse,,19.1,,,,,,,,,,false,,,,
Physical,New Capture,tr44075,'030001a49b',1,greti,1,,,01-06-2013 15:59,WYT,20131MP7,Jack Nurse,,18.6,,,,,,,,,,false,,,,
Physical,New Capture,tr44076,'0300022510',1,greti,1,,,01-06-2013 15:59,WYT,20131MP7,Jack Nurse,,19.4,,,,,,,,,,false,,,,
Physical,New Capture,tr44077,'030001aa2f',1,greti,1,,,02-06-2013  8:00,WYT,20131MP33,Jack Nurse,,13.3,,,,,,,,,,false,,,,
Physical,New Capture,tr44078,'030002b81b',1,greti,1,,,02-06-2013  8:00,WYT,20131MP33,Jack Nurse,,14.9,,,,,,,,,,false,,,,
Physical,New Capture,tr44079,'0300029138',1,greti,1,,,02-06-2013  8:00,WYT,20131MP33,Jack Nurse,,11.5,,,,,,,,,,false,,,,
Physical,New Capture,tr44080,'030002fcfd',1,greti,1,,,02-06-2013  8:00,WYT,20131MP33,Jack Nurse,,14.8,,,,,,,,,,false,,,,
Physical,New Capture,tr44081,'0300039144',1,greti,1,,,02-06-2013  8:00,WYT,20131MP33,Jack Nurse,,16.3,,,,,,,,,,false,,,,
Physical,New Capture,tr44082,'030001bfb1',1,greti,1,,,02-06-2013  9:40,WYT,20131MP68,Jack Nurse,,16.2,,,,,,,,,,false,,,,
Physical,New Capture,tr44083,'030002595c',1,greti,1,,,02-06-2013  9:40,WYT,20131MP68,Jack Nurse,,17,,,,,,,,,,false,,,,
Physical,New Capture,tr44084,'0300038603',1,greti,1,,,02-06-2013  9:40,WYT,20131MP68,Jack Nurse,,16.8,,,,,,,,,,false,,,,
Physical,New Capture,tr44085,'030001985d',1,greti,1,,,02-06-2013  9:40,WYT,20131MP68,Jack Nurse,,16.5,,,,,,,,,,false,,,,
Physical,New Capture,tr44086,'030001937d',1,greti,1,,,02-06-2013  9:40,WYT,20131MP68,Jack Nurse,,16.2,,,,,,,,,,false,,,,
Physical,New Capture,tr44087,'030002f9d3',1,greti,1,,,02-06-2013 11:39,WYT,20131H11,Jack Nurse,,16.8,,,,,,,,,,false,,,,
Physical,New Capture,tr44088,'0300021ce6',1,greti,1,,,02-06-2013 11:39,WYT,20131H11,Jack Nurse,,13.6,,,,,,,,,,false,,,,
Physical,New Capture,tr44089,'0300036129',1,greti,1,,,02-06-2013 11:39,WYT,20131H11,Jack Nurse,,18.4,,,,,,,,,,false,,,,
Physical,New Capture,tr44090,'',0,greti,1,,,02-06-2013 14:00,SMI,20131DMC19,Jack Nurse,,12.8,,,,,,,,,,false,,,,
Physical,New Capture,tr44091,'',0,greti,1,,,02-06-2013 14:00,SMI,20131DMC19,Jack Nurse,,16,,,,,,,,,,false,,,,
Physical,New Capture,tr44092,'',0,greti,1,,,02-06-2013 14:00,SMI,20131DMC19,Ross Crates,,15.8,,,,,,,,,,false,,,,
Physical,New Capture,unrrunt,'',0,greti,1,,,02-06-2013 14:00,SMI,20131DMC19,Ross Crates,,12.7,,,,,,,,,,false,,,DEFORMED LEGS,
Physical,New Capture,unrrunt,'',0,greti,1,,,02-06-2013 14:00,SMI,20131DMC19,Ross Crates,,11,,,,,,,,,,false,,,,
Physical,New Capture,tl36005,'0300036140',1,greti,1,,,02-06-2013 14:29,WYT,20131ST14,Ella Cole,,18.3,,,,,,,,,,false,,,,
Physical,New Capture,tl36006,'030001e7e2',1,greti,1,,,02-06-2013 14:29,WYT,20131ST14,Ella Cole,,17.5,,,,,,,,,,false,,,,
Physical,New Capture,tl36007,'0300038948',1,greti,1,,,02-06-2013 14:29,WYT,20131ST14,Ella Cole,,16.4,,,,,,,,,,false,,,,
Physical,New Capture,tr44093,'03000374cb',1,greti,1,,,04-06-2013  7:15,WYT,20131MP60,Ross Crates,,16.3,,,,,,,,,,false,,,,
Physical,New Capture,tr44094,'030002064f',1,greti,1,,,04-06-2013  7:15,WYT,20131MP60,Ross Crates,,17.3,,,,,,,,,,false,,,,
Physical,New Capture,tr44095,'0300032027',1,greti,1,,,04-06-2013  7:15,WYT,20131MP60,Ross Crates,,18.2,,,,,,,,,,false,,,,
