pnum,year,timedate,date,time_min,sunrise,sunrise_min,diff_time
20211CP18,2021,2021-04-21 04:32:29.720000,2021-04-21,272,2021-04-21 04:56:21.847588+00:00,296,-24
20211CP18,2021,2021-04-22 04:41:56.322667,2021-04-22,281,2021-04-22 04:54:17.334440+00:00,294,-13
20211CP20,2021,2021-04-13 04:46:19.152000,2021-04-13,286,2021-04-13 05:13:28.944258+00:00,313,-27
20211CP20,2021,2021-04-14 04:47:34.646667,2021-04-14,287,2021-04-14 05:11:17.886676+00:00,311,-24
20211CP20,2021,2021-04-15 04:44:08.734667,2021-04-15,284,2021-04-15 05:09:07.520545+00:00,309,-25
20211CP20,2021,2021-04-17 04:37:58.630667,2021-04-17,277,2021-04-17 05:04:49.003674+00:00,304,-27
20211CP28,2021,2021-04-23 04:19:09.936000,2021-04-23,259,2021-04-23 04:52:13.808673+00:00,292,-33
20211CP28,2021,2021-04-24 04:21:27.288000,2021-04-24,261,2021-04-24 04:50:11.309838+00:00,290,-29
20211CP28,2021,2021-04-25 04:16:19.197333,2021-04-25,256,2021-04-25 04:48:09.878095+00:00,288,-32
20211CP30,2021,2021-04-18 04:27:35.056000,2021-04-18,267,2021-04-18 05:02:40.924716+00:00,302,-35
20211CP30,2021,2021-04-19 04:32:23.144000,2021-04-19,272,2021-04-19 05:00:33.680803+00:00,300,-28
20211MP71,2021,2021-04-08 04:53:23.040000,2021-04-08,293,2021-04-08 05:24:33.406551+00:00,324,-31
20211MP71,2021,2021-04-09 04:49:20.328000,2021-04-09,289,2021-04-09 05:22:19.402706+00:00,322,-33
20211MP71,2021,2021-04-11 04:52:53.088000,2021-04-11,292,2021-04-11 05:17:52.995603+00:00,317,-25
20211MP71,2021,2021-04-12 04:48:17.888000,2021-04-12,288,2021-04-12 05:15:40.658633+00:00,315,-27
20211MP71,2021,2021-04-13 04:43:20.064000,2021-04-13,283,2021-04-13 05:13:28.944258+00:00,313,-30
20211MP72,2021,2021-05-06 04:06:38.677333,2021-05-06,246,2021-05-06 04:27:16.664342+00:00,267,-21
20211MP72,2021,2021-05-07 04:22:22.848000,2021-05-07,262,2021-05-07 04:25:31.395851+00:00,265,-3
20211MP73,2021,2021-04-17 04:32:15.552000,2021-04-17,272,2021-04-17 05:04:49.003674+00:00,304,-32
20211MP73,2021,2021-04-18 04:34:39.200000,2021-04-18,274,2021-04-18 05:02:40.924716+00:00,302,-28
20211MP73,2021,2021-04-19 04:29:46.240000,2021-04-19,269,2021-04-19 05:00:33.680803+00:00,300,-31
20211MP76,2021,2021-04-01 05:14:54.106667,2021-04-01,314,2021-04-01 05:40:23.369881+00:00,340,-26
20211MP76,2021,2021-04-02 05:09:52.512000,2021-04-02,309,2021-04-02 05:38:06.602261+00:00,338,-29
20211MP78,2021,2021-04-17 04:31:46.154667,2021-04-17,271,2021-04-17 05:04:49.003674+00:00,304,-33
20211MP78,2021,2021-04-18 04:31:29.424000,2021-04-18,271,2021-04-18 05:02:40.924716+00:00,302,-31
20211MP78,2021,2021-04-19 04:31:21.893333,2021-04-19,271,2021-04-19 05:00:33.680803+00:00,300,-29
20211MP80,2021,2021-04-21 04:29:49.397333,2021-04-21,269,2021-04-21 04:56:21.847588+00:00,296,-27
20211MP80,2021,2021-04-23 04:21:20.386667,2021-04-23,261,2021-04-23 04:52:13.808673+00:00,292,-31
20211MP90,2021,2021-04-10 04:57:00.704000,2021-04-10,297,2021-04-10 05:20:05.921408+00:00,320,-23
20211MP90,2021,2021-04-11 04:49:56.149333,2021-04-11,289,2021-04-11 05:17:52.995603+00:00,317,-28
20211MP90,2021,2021-04-12 04:49:27.010667,2021-04-12,289,2021-04-12 05:15:40.658633+00:00,315,-26
20211MP90,2021,2021-04-17 04:31:00.058667,2021-04-17,271,2021-04-17 05:04:49.003674+00:00,304,-33
20211MP90,2021,2021-04-18 04:32:06.960000,2021-04-18,272,2021-04-18 05:02:40.924716+00:00,302,-30
20211MP90,2021,2021-04-19 04:29:02.272000,2021-04-19,269,2021-04-19 05:00:33.680803+00:00,300,-31
20211MP92,2021,2021-04-23 04:24:40.800000,2021-04-23,264,2021-04-23 04:52:13.808673+00:00,292,-28
20211MP92,2021,2021-04-24 04:16:48.800000,2021-04-24,256,2021-04-24 04:50:11.309838+00:00,290,-34
20211MP98,2021,2021-04-14 04:37:25.624000,2021-04-14,277,2021-04-14 05:11:17.886676+00:00,311,-34
20211MP98,2021,2021-04-15 04:35:45.206667,2021-04-15,275,2021-04-15 05:09:07.520545+00:00,309,-34
20211MP98,2021,2021-04-16 04:38:45.210000,2021-04-16,278,2021-04-16 05:06:57.881000+00:00,306,-28
20211MP98,2021,2021-04-17 04:39:16.006667,2021-04-17,279,2021-04-17 05:04:49.003674+00:00,304,-25
20211MP98,2021,2021-04-18 04:35:10.602000,2021-04-18,275,2021-04-18 05:02:40.924716+00:00,302,-27
20211MP98,2021,2021-04-19 04:30:08.378667,2021-04-19,270,2021-04-19 05:00:33.680803+00:00,300,-30
20211O107,2021,2021-04-13 04:50:31.296000,2021-04-13,290,2021-04-13 05:13:28.944258+00:00,313,-23
20211O107,2021,2021-04-14 04:44:07.824000,2021-04-14,284,2021-04-14 05:11:17.886676+00:00,311,-27
20211O107,2021,2021-04-17 04:37:51.136000,2021-04-17,277,2021-04-17 05:04:49.003674+00:00,304,-27
20211O107,2021,2021-04-23 04:23:31.728000,2021-04-23,263,2021-04-23 04:52:13.808673+00:00,292,-29
20211O112,2021,2021-04-19 04:31:12.432000,2021-04-19,271,2021-04-19 05:00:33.680803+00:00,300,-29
20211O112,2021,2021-04-20 04:24:29.064000,2021-04-20,264,2021-04-20 04:58:27.309164+00:00,298,-34
20211O112,2021,2021-04-21 04:21:58.944000,2021-04-21,261,2021-04-21 04:56:21.847588+00:00,296,-35
20211O115,2021,2021-04-13 04:53:36.096000,2021-04-13,293,2021-04-13 05:13:28.944258+00:00,313,-20
20211O115,2021,2021-04-14 04:45:20.592000,2021-04-14,285,2021-04-14 05:11:17.886676+00:00,311,-26
