pnum,year,timedate,date,time_min,sunrise,sunrise_min,diff_time
20211W16,2021,2021-04-17 04:31:49.077333,2021-04-17,271,2021-04-17 05:04:49.003674+00:00,304,-33
20211W16,2021,2021-04-18 04:27:21.770667,2021-04-18,267,2021-04-18 05:02:40.924716+00:00,302,-35
20211W16,2021,2021-04-19 04:27:10.592000,2021-04-19,267,2021-04-19 05:00:33.680803+00:00,300,-33
20211W16,2021,2021-04-20 04:31:27.056000,2021-04-20,271,2021-04-20 04:58:27.309164+00:00,298,-27
20211W17,2021,2021-04-24 04:28:36.117333,2021-04-24,268,2021-04-24 04:50:11.309838+00:00,290,-22
20211W17,2021,2021-04-25 04:31:22.216000,2021-04-25,271,2021-04-25 04:48:09.878095+00:00,288,-17
20211W21,2021,2021-04-23 04:23:13.320000,2021-04-23,263,2021-04-23 04:52:13.808673+00:00,292,-29
20211W21,2021,2021-04-24 04:21:15.512000,2021-04-24,261,2021-04-24 04:50:11.309838+00:00,290,-29
20211W21,2021,2021-04-25 04:25:15.746667,2021-04-25,265,2021-04-25 04:48:09.878095+00:00,288,-23
20211P11,2021,2021-04-24 04:19:39.690667,2021-04-24,259,2021-04-24 04:50:11.309838+00:00,290,-31
20211P11,2021,2021-04-26 04:19:28.992000,2021-04-26,259,2021-04-26 04:46:09.554219+00:00,286,-27
20211P12,2021,2021-04-26 04:18:23.904000,2021-04-26,258,2021-04-26 04:46:09.554219+00:00,286,-28
20211P12,2021,2021-04-27 04:24:49.728000,2021-04-27,264,2021-04-27 04:44:10.379607+00:00,284,-20
