year,pnum,nestbox,clear_date,missing_entire_brood,suspected_predation,lay_date,april_lay_date,lay_date_visit_interval,laying_rate,incubation_started,num_broken_eggs,hatch_date,april_hatch_date,incubation_duration,total_egg_weight,num_eggs_weighed,clutch_size,num_chicks,num_chicks_ringed,april_ring_date,ring_day,num_live_chicks,num_dead_chicks,num_fledglings,mean_chick_weight,father,mother,resident,natal_box,year_born,bto_age,age,x,y,type,poly,edge_edi,altitude_m,aspect,northness,habitat_type,soil_type,recorded,total_recordings,missing_recordings,first_recorded,last_recorded,delay,n_vocalisations,repertoire_size
2013,20131B20,B20,2013-06-23,,,2013-05-17,47.0,8.0,,True,0,2013-05-30,60.0,10.0,,,4.0,4.0,3,74.0,15.0,3.0,3,1,14.87,y838348,tp27817,False,,,4.0,unknown,447946.72,207757.76,G,735.163,38.9451,80.8873,49.9067,0.644034178,5.0,3.0,False,0,0,,,,0,
2013,20131B201,B201,2013-06-14,,,2013-05-03,33.0,6.0,,True,0,2013-05-24,54.0,17.0,5.0,3.0,5.0,4.0,4,68.0,15.0,4.0,0,4,18.5,y160631,y160630,False,,,4.0,unknown,447485.72,207826.76,G,2719.9,31.6845,108.324,350.253,0.985564925,5.0,2.0,False,0,0,,,,0,
2013,20131B205,B205,2013-06-13,,,2013-05-10,40.0,7.0,,,0,,,,5.0,3.0,6.0,,0,,,,0,0,,,,,,,,,447877.72,207724.76,G,710.239,71.2958,90.2378,75.1112,0.256943884,5.0,3.0,False,0,0,,,,0,
2013,20131B21,B21,2013-06-19,,,2013-05-04,34.0,7.0,0.5,True,1,2013-05-28,58.0,20.0,5.1,3.0,5.0,5.0,4,71.0,14.0,4.0,1,4,19.55,tr40266,tp41889,False,,,4.0,unknown,447972.72,207764.76,G,1357.92,32.4173,78.8858,54.1257,0.586008954,3.0,3.0,False,0,0,,,,0,
2013,20131B213,B213,2013-05-26,,,2013-05-03,33.0,7.0,,True,0,2013-05-22,52.0,16.0,7.1,4.0,4.0,4.0,0,,,,1,0,,,,,,,,,447605.72,207765.76,G,1618.92,116.794,107.651,11.7232,0.979140618,5.0,2.0,False,0,0,,,,0,
2013,20131B217,B217,2013-06-19,,,,,,,,0,2013-05-20,50.0,,,,6.0,4.0,4,64.0,15.0,4.0,0,4,18.83,x235629,tr40263,False,,,,,447751.72,207832.76,G,3039.22,163.477,91.2885,19.2188,0.944268411,5.0,3.0,False,0,0,,,,0,
2013,20131B220,B220,2013-05-19,,,2013-05-10,40.0,7.0,,,3,,,,,,3.0,,0,,,,0,0,,,,,,,,,447504.72,207508.76,G,871.592,147.181,131.221,9.74135,0.985581615,5.0,1.0,False,0,0,,,,0,
2013,20131B225,B225,2013-06-09,,,2013-05-20,50.0,8.0,,,0,,,,,,1.0,,0,,,,0,0,,,,,,,,,447796.72,207941.76,G,1826.88,86.7387,78.7682,70.3549,0.336193,5.0,3.0,False,0,0,,,,0,
2013,20131B227,B227,2013-06-05,,,2013-05-10,40.0,7.0,,True,0,2013-05-30,60.0,15.0,5.1,3.0,6.0,5.0,0,,,,5,0,,,,,,,,,447763.72,208100.76,G,1597.35,5.99261,76.8308,33.3466,0.835360552,5.0,3.0,False,0,0,,,,0,
2013,20131B29,B29,2013-06-17,,,2013-05-05,35.0,7.0,1.0,True,0,2013-05-24,54.0,13.0,5.1,3.0,7.0,6.0,6,69.0,16.0,6.0,0,6,15.72,x235635,l314214,False,,,4.0,unknown,447720.72,207711.76,G,861.142,206.214,105.125,23.6721,0.915858212,5.0,2.0,False,0,0,,,,0,
2013,20131B31,B31,2013-06-17,,,2013-05-08,38.0,7.0,,True,0,2013-05-26,56.0,14.0,,,5.0,5.0,3,70.0,15.0,3.0,0,3,16.33,,y160609,,,,,,447707.72,207601.76,G,1469.71,169.085,117.058,57.473,0.537696988,5.0,2.0,False,0,0,,,,0,
2013,20131B36,B36,2013-06-30,,,2013-05-15,45.0,7.0,,True,0,2013-06-05,66.0,15.0,7.3,4.0,7.0,5.0,5,80.0,15.0,5.0,0,5,16.68,,,,,,,,447687.72,207515.76,G,1268.2,125.813,123.206,61.0792,0.48360017,5.0,1.0,False,0,0,,,,0,
2013,20131B49,B49,2013-06-10,,,2013-04-29,29.0,6.0,1.0,True,0,2013-05-20,50.0,13.0,6.7,4.0,9.0,8.0,6,64.0,15.0,6.0,1,6,16.32,l808884,x235519,False,,,4.0,unknown,447581.72,207564.76,G,1126.35,172.828,125.55,17.3437,0.954533711,5.0,1.0,False,0,0,,,,0,
2013,20131B5,B5,2013-06-17,,,2013-05-04,34.0,7.0,1.0,True,0,2013-05-25,55.0,13.0,4.9,3.0,9.0,7.0,6,69.0,15.0,7.0,1,5,15.23,x235638,y035689,False,,,4.0,unknown,447829.72,207426.76,G,220.648,1.43621,117.191,85.564,0.07734548,5.0,2.0,False,0,0,,,,0,
